MRP,Price,ProductFullName,ProductShortName,ReviewURL,id
2990,1399,boAt Rockerz 255 Sports Bluetooth Wireless Earphone with Immersive Stereo Sound and Hands Free Mic (Active Black),boAt Rockerz 255,https://www.amazon.in/255-Bluetooth-Wireless-Earphone-Immersive/product-reviews/B07C2VJXP4/ref=cm_cr_arp_d_paging_btm_next_MYPAGENO?ie=UTF8&reviewerType=all_reviews&pageNumber=MYPAGENO,1
3999,1099,Flybot Wave in-Ear Sport Wireless Bluetooth Earphone with Mic and IPX4 Sweatproof - (Black),Flybot Wave,https://www.amazon.in/Flybot-Wireless-Bluetooth-Earphone-Sweatproof/product-reviews/B07NX7V4YQ/reviewerType=all_reviews/ref=cm_cr_arp_d_paging_btm_next_MYPAGENO?pageNumber=MYPAGENO,2
3999,1099,Flybot Boom Deep Bass in-Ear Wireless Bluetooth Earphone with Mic IPX4 Sweatproof - (Black),Flybot Boom,https://www.amazon.in/Flybot-Wireless-Bluetooth-Earphone-Sweatproof/product-reviews/B07Q5RF7SR/ref=cm_cr_arp_d_paging_btm_next_MYPAGENO?ie=UTF8&reviewerType=all_reviews&pageNumber=MYPAGENO,3
2000,749,PTron Intunes Pro Headphone Magnetic Earphone Wireless Bluetooth Headset with Mic for All Smartphones (Gray),PTron Intunes,https://www.amazon.in/PTron-Intunes-Pro-Smartphones-Gray/product-reviews/B07NJ6X2TD/ref=cm_cr_arp_d_paging_btm_next_MYPAGENO?ie=UTF8&reviewerType=all_reviews&pageNumber=MYPAGENO,4
5999,2999,"Flybot Beat True Wireless Bluetooth Earphones with Charging Case, Compatible with Android and iOS (Black)",Flybot Beat,https://www.amazon.in/Flybot-Wireless-Bluetooth-Earphones-Compatible/product-reviews/B07Q5RG66M/ref=cm_cr_arp_d_paging_btm_next_MYPAGENO?ie=UTF8&reviewerType=all_reviews&pageNumber=MYPAGENO,5
3799,3190,Samsung EO-BG950CBEGIN Bluetooth Wireless in-Ear Flexible Headphones with Microphone (Black),Samsung EO-BG950CBEIN,https://www.amazon.in/Samsung-EO-BG950CBEGIN-Bluetooth-Headphones-Microphone/product-reviews/B0762LM9RR/ref=cm_cr_arp_d_paging_btm_next_MYPAGENO?ie=UTF8&reviewerType=all_reviews&pageNumber=MYPAGENO,6
2999,1999,JBL T205BT Pure Bass Wireless Metal Earbud Headphones with Mic (Black),JBL T205BT,https://www.amazon.in/JBL-T205BT-Wireless-Earbud-Headphones/product-reviews/B07B9G75Z9/ref=cm_cr_arp_d_paging_btm_next_MYPAGENO?ie=UTF8&reviewerType=all_reviews&pageNumber=MYPAGENO,7
7490,6499,Sennheiser CX 6.0BT 507447 in Ear Wireless Earphones (Black),Sennheiser CX 6.0BT,https://www.amazon.in/Sennheiser-CX-507447-Wireless-Earphones/product-reviews/B077Y3GCD4/ref=cm_cr_arp_d_paging_btm_next_MYPAGENO?ie=UTF8&reviewerType=all_reviews&pageNumber=MYPAGENO,8
5299,3699,Skullcandy S2PGHW-174 in-Ear Wireless Headphones (Black/Chrome),Skullcandy S2PGHW-174,https://www.amazon.in/Skullcandy-S2PGHW-174-Wireless-Headphones-Chrome/product-reviews/B013UFETBW/ref=cm_cr_arp_d_paging_btm_next_MYPAGENO?ie=UTF8&reviewerType=all_reviews&pageNumber=MYPAGENO,9
2259,2000,JBL T110BT Pure Bass Wireless in-Ear Headphones with Mic (Black),JBL T110BT,https://www.amazon.in/JBL-T110BT-Wireless-Headphones-Black/product-reviews/B075KPNDC8/ref=cm_cr_arp_d_paging_btm_next_MYPAGENO?ie=UTF8&reviewerType=all_reviews&pageNumber=MYPAGENO,10
